K008552	-2028954.360612
K003229	2216178.736863
K015594	-72771.384699
A000446	6444974.070183
A004042	6209715.830867
A004450	10888280.338402
A005311	1373430.217916
A004382	-104105.241938
A005824	-512570.093744
A014853	168161.033469
A007848	-483237.400996
A011590	-821425.993470
A014252	-420105.981660
A006773	-7723864.612157
A009522	441248.671054
A010043	1693831.436577
A002125	-15087471.166019
K003270	637934.631049
K010861	-2390824.758172
K014981	-139653.751036
A013488	-768643.598818
A004384	-3737698.612408
K009182	-5566414.636146
K005225	-485308.574202
A001057	-1342.522405
A013410	-741743.304562
A007075	-347015.873926
A013274	851711.337477
A005866	-1103597.269605
A004066	52799.073675
A015842	-71228.490238
A013405	903.396633
A000746	86455.581231
A013132	57551.453880
A002849	-100133.556773
K009520	476464.041396
A001017	-506663.096197
A002065	212760.098809
A014617	933743.154987
A007505	937823.805823
A008906	-167783.898589
A016206	78654.240806
K010975	-2499574.452071
A000444	732474.661644
A011159	-691189.455781
A007025	-257078.640298
A001097	-256493.611468
A007169	-221770.994594
A000528	347787.357595
A006338	243460.722696
A010679	-1128885.093791
A010958	-860168.243361
A006392	304588.427689
K011935	1916759.493776
K002451	-31745.335011
K003786	1057123.615105
K002509	-3231915.113049
A004714	377916.520240
A008146	1149765.539531
A001628	371829.311610
A008896	-823206.456979
A008108	-182431.340378
A012292	-137333.455933
A008264	-7441.227999
A014339	953131.763388
A011053	-242156.018838
A011479	119996.436363
A007195	-97061.770755
A002813	421693.815337
A011343	-340970.397111
A010131	-688016.361465
A000540	-505999.457232
A002615	1416487.389675
A003819	-78407.125870
K000038	1767231.485197
K013859	-1384047.209007
K007991	-607188.990178
K011745	-849234.557694
K009350	-4641036.120074
K009858	-388033.942677
K013640	355237.362485
K005549	-1982742.624322
A001623	-2837013.621408
K013487	-1760761.323373
A000565	-379078.514457
A007998	-670117.137509
A007876	-2699059.145670
A007666	633278.660263
A005660	39910.279745
G010864	-176158.569292
A002653	5084344.184031
A008825	437573.638951
A003563	94797.080866
A001223	305983.684079
A008643	-253437.347521
A006539	-806872.813831
A001154	-15085.335585
A014916	-1056696.101041
A001062	-122193.382497
K000957	-2919866.975169
A013988	-42796.392098
A014726	-1927145.797009
A012229	99423.579149
A008861	-411416.892960
A008048	804205.080534
A004242	1979458.149105
A006413	-383366.404439
A011978	1268098.203532
A014310	-478545.611695
A008000	436614.572326
O012362	3365989.982034
A008078	1356195.814541
A010278	-504047.188735
A013518	657402.318110
K005062	-4741016.083505
K013135	273808.593857
K013396	-227528.067943
A003343	852934.187024
G004489	357982.373743
G000891	-1110488.567094
G002468	-354691.586498
G013441	180254.689467
K002646	96816.700361
G007082	-443347.414864
G015011	277288.675307
K015506	-1900389.098289
K013127	724873.512747
K014224	-648206.270427
A014272	-800497.844186
K001443	1064997.216985
A013254	4743014.858231
A003570	34256.277724
K009045	-544358.752089
K014143	-1381259.464628
K009454	29623.671212
K003020	-102920.518607
K003879	-610445.211218
A013509	-147161.946795
K009575	-1823639.737031
A005480	577507.481523
O008855	-1156555.579542
K013182	-1143780.433319
A014253	-185465.234897
G002006	1105344.669411
A015371	4380666.288875
G002339	24846.307915
G004630	2146453.837731
A010695	-639170.431777
A013029	-996224.167801
A012074	87331.231126
A003900	3216.140442
G012685	-590886.740769
A005456	-1019423.754644
K011618	495930.771589
A006980	133881.324140
A008178	21393482.657055
A009947	2150490.713592
A006313	-549817.126515
A005797	474263.950246
G015488	-120199.706394
G004038	699929.813586
G011524	941211.394953
G006551	-184215.090713
K005787	-223882.126156
